scheme_name,scheme_link
Smart Cities Mission Portal by Ministry of Urban Development,https://www.india.gov.in/smart-cities-mission-portal-ministry-urban-development
Guidelines for Integrated Development of Commercial Floriculture Scheme,https://www.india.gov.in/guidelines-integrated-development-commercial-floriculture-scheme
Social defence schemes of Ministry of Social Justice and Empowerment,https://www.india.gov.in/social-defence-schemes-ministry-social-justice-and-empowerment
Schemes and programmes for differently abled by Ministry of Social Justice and Empowerment,https://www.india.gov.in/schemes-and-programmes-differently-abled-ministry-social-justice-and-empowerment
Information on Rashtriya Madhyamik Shiksha Abhiyan,https://www.india.gov.in/information-rashtriya-madhyamik-shiksha-abhiyan
Information on Child Development,https://www.india.gov.in/information-child-development
Balika Samriddhi Yojana by the Ministry of Women and Child Development,https://www.india.gov.in/balika-samriddhi-yojana-ministry-women-and-child-development
Central Herd Registration Scheme by Department of Animal Husbandry Dairying & Fisheries,https://www.india.gov.in/central-herd-registration-scheme-department-animal-husbandry-dairying-fisheries
Information on schemes of animal husbandry,https://www.india.gov.in/information-schemes-animal-husbandry
Download forms of schemes for care of older persons,https://www.india.gov.in/download-forms-schemes-care-older-persons
Prime Minister Rural Development Fellows Scheme,https://www.india.gov.in/prime-minister-rural-development-fellows-scheme
Information about Jan Shikshan Sansthan scheme,https://www.india.gov.in/information-about-jan-shikshan-sansthan-scheme
Scheme for financial assistance for promotion and strengthening of regional and local museums,https://www.india.gov.in/scheme-financial-assistance-promotion-and-strengthening-regional-and-local-museums
Scheme of post-matric scholarships for OBC,https://www.india.gov.in/scheme-post-matric-scholarships-obc
Pradhan Mantri Gram Sadak Yojana by Ministry of Rural Development,https://www.india.gov.in/pradhan-mantri-gram-sadak-yojana-ministry-rural-development
Information on welfare schemes for Central Reserve Police Force Personnel,https://www.india.gov.in/information-welfare-schemes-central-reserve-police-force-personnel
Scholarships Scheme by Centre for Cultural Resources and Training,https://www.india.gov.in/scholarships-scheme-centre-cultural-resources-and-training
